Name,Rating,Engine,EPA Class,Drivetrain,Body Style,Brake Type,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Trans Type,Passenger Doors,Passenger Capacity,Base Curb Weight (lbs),Front Leg Room (in),Front Shoulder Room (in),Front Head Room (in),Wheelbase (in),"Track Width, Rear (in)","Height, Overall (in)","Length, Overall (in)","Track Width, Front (in)","Width, Max w/o mirrors (in)",SAE Net Horsepower ,Rear Brake Rotor Diam * Thickness (in),Front Brake Rotor Diam * Thickness (in),Front Wheel Size (in),Rear Wheel Size (in),Basic Miles/km,Basic Years,Corrosion Years,Drivetrain Years,Air Bag-Side Body-Rear,Air Bag-Side Head-Front,Air Bag-Side Head-Rear,Child Safety Rear Door Locks,Daytime Running Lights,Rollover Protection Bars,Fog Lamps,Parking Aid,Back-Up Camera
2020 Honda Accord,7,"Gas/Electric I-4, 2.0 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3373,42.3,58.3,37.5,111.4,63.4,57.1,192.2,63,73.3,212,11.1,11.5,127.5,127.5,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2020 Honda CR-V,6,"Intercooled Turbo Regular Unleaded I-4, 1.5 L",Small SUV 2WD,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3398,41.3,57.9,38,104.8,63.7,66.1,182.1,63,73,190,10.2,11.1,135,135,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2020 Honda Insight,7,"Gas/Electric I-4, 1.5 L",Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,1,4,5,3000,42.3,56.9,39.3,106.3,61.6,55.6,183.6,60.9,71.6,151,10.2,11.1,112,112,36000,3,5,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2020 Hyundai Ioniq,7,Electric,Midsize,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Torsion Beam,1,4,5,3488,42.2,56.1,38.2,106.3,61.6,58.1,176,61.2,71.7,134,11.2,11,104,104,60000,5,7,10,No,Yes,Yes,Yes,Yes,No,No,No,Yes
2020 Kia Niro,6,"Gas/Electric I-4, 1.6 L",Small Station Wagon,Front Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,6,4,5,3199,41.7,56,40.1,106.3,62.2,60.4,171.5,61.6,71.1,139,10.3,11,104,104,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2020 Kia Optima,7,"Intercooled Turbo Regular Unleaded I-4, 1.6 L",Large Cars,Front Wheel Drive,4dr Car,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,7,4,5,3285,45.5,58.1,39.8,110.4,63.4,57.7,191.1,63.1,73.2,178,11.2,12,110.5,110.5,60000,5,5,10,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2020 Land Rover Discovery Sport,6,"Intercooled Turbo Gas/Electric I-4, 2.0 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,9,4,5,4145,39.1,57.3,39.5,107.9,64.7,68,181,64.4,75,286,12.8,13.7,160,160,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2020 Land Rover Range Rover Evoque,6,"Intercooled Turbo Premium Unleaded I-4, 2.0 L",Small SUV 4WD,All Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Strut,Multi-Link,9,4,5,3935,40,56.6,38.9,105.6,64.2,64.9,172.1,64,75,246,12.6,13.7,160,160,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2020 Land Rover Range Rover,8,"Intercooled Supercharger Premium Unleaded V-8, 5.0 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,5404,39.1,60.9,39.5,122.9,66.3,73.5,207.4,66.6,78.1,518,14.4,15,199.5,199.5,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2020 Land Rover Range Rover Sport,8,"Intercooled Turbo Gas/Electric I-4, 2.0 L",Small SUV 4WD,Four Wheel Drive,Sport Utility,4-Wheel Disc,Aluminum,Aluminum,Double Wishbone,Multi-Link,8,4,5,5448,42.2,60.7,39.5,115.1,66.3,71,192.1,66.7,78.1,398,14.4,15,199.5,199.5,50000,4,6,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
